from_node,to_node,distance,travel_time,source_edge_id
121,116,18.85083892,1.204800854,51939
121,190,292.5429326,16.35996039,131186
122,171,193.1183303,10.7998105,131250
123,85,65.96728348,4.216122146,33852
124,120,10.9728,1.227269938,257
124,88,107.6818909,4.014616371,37592
126,124,16.764,1.874995739,250
127,110,71.71531932,4.010555897,134888
128,115,133.5421897,8.534991194,131191
128,129,57.20585271,3.19913893,131246
129,112,134.8968516,7.543874433,134783
129,153,148.8550588,8.324463163,131248
130,126,16.1544,1.806814075,254
130,155,100.2877671,3.738947268,116519
131,128,104.3598343,5.836144254,131247
131,115,236.6902637,8.824330625,116524
132,135,31.53023043,1.175515941,37597
133,120,72.68633284,4.064858158,131068
133,124,65.7273479,2.450459263,37588
134,117,101.4078721,9.07369735,131187
134,169,145.2470245,12.99630408,134883
135,154,89.77537211,3.347022193,37594
136,106,101.8096032,22.77410787,162761
137,84,131.2428683,14.6790634,40054
137,706,70.10230385,7.840701562,198945
138,137,82.61937857,9.240693315,23580
138,82,160.392743,17.93937662,37312
139,113,90.64491594,10.13832207,19371
139,138,85.03974623,9.511403114,23584
140,139,83.43392124,9.331797112,23583
140,105,105.5170105,11.80171469,54945
141,86,189.9666855,10.62356018,134779
141,97,183.7716586,6.851409306,37628
142,133,37.12283068,1.384020308,37589
143,140,82.08521718,9.180949201,23585
144,125,41.75871017,4.6705681,30248
144,143,78.33411405,8.761401218,23582
145,135,13.42503357,1.501543828,1661
146,148,72.84783764,8.147780073,23533
148,149,85.03974623,9.511403114,23532
149,705,55.44779731,6.201645411,198825
150,142,13.4112,1.499996591,538
151,131,100.3466092,3.74114103,116523
151,145,14.35477273,1.605531956,1662
152,142,89.46000073,3.335264458,37591
153,213,262.0980062,14.65738024,131245
153,213,247.8531116,13.86075901,218275
154,157,86.79983142,3.236087529,37596
155,150,14.9352,1.670450749,537
155,160,46.17723679,1.721588368,140341
156,155,4.5793152,0.512180654,140342
156,160,45.31633282,4.054780765,140350
157,152,84.99901154,3.168949026,37586
158,154,9.144,1.022724948,1466
